"""관짝밈""","""관짝밈"""
연/월,"""관짝밈""_빈도수"
2020/03,0
2020/04,102
2020/05,150
2020/06,120
2020/07,104
2020/08,150
2020/09,41
2020/10,60
2020/11,32
2020/12,45
2021/01,28
2021/02,20
2021/03,18
2021/04,14
2021/05,19
2021/06,26
2021/07,18
2021/08,11
2021/09,20
2021/10,13
2021/11,13
2021/12,12
2022/01,10
2022/02,6
2022/03,13
2022/04,8
2022/05,13
2022/06,11
2022/07,5
2022/08,9
2022/09,6
2022/10,7
2022/11,12
2022/12,6
2023/01,4
2023/02,4
2023/03,5
2023/04,7
2023/05,5
2023/06,4
2023/07,7
2023/08,6
2023/09,4
2023/10,10
2023/11,2
