"""덕밍아웃""","""덕밍아웃"""
연/월,"""덕밍아웃""_빈도수"
2012/04,0
2012/05,1
2012/06,1
2012/07,1
2012/08,4
2012/09,2
2012/10,2
2012/11,1
2012/12,2
2013/01,7
2013/02,20
2013/03,33
2013/04,40
2013/05,30
2013/06,30
2013/07,27
2013/08,46
2013/09,40
2013/10,50
2013/11,54
2013/12,72
2014/01,58
2014/02,101
2014/03,112
2014/04,93
2014/05,100
2014/06,95
2014/07,105
2014/08,104
2014/09,90
2014/10,129
2014/11,108
2014/12,106
2015/01,116
2015/02,113
2015/03,145
2015/04,120
2015/05,118
2015/06,135
2015/07,150
2015/08,148
2015/09,131
2015/10,143
2015/11,150
2015/12,150
2016/01,150
2016/02,150
2016/03,150
2016/04,150
2016/05,150
2016/06,126
2016/07,150
2016/08,150
2016/09,150
2016/10,150
2016/11,150
2016/12,147
2017/01,150
2017/02,150
2017/03,150
2017/04,150
2017/05,138
2017/06,150
2017/07,142
2017/08,142
2017/09,150
2017/10,136
2017/11,129
2017/12,146
2018/01,139
2018/02,126
2018/03,135
2018/04,139
2018/05,150
2018/06,114
2018/07,122
2018/08,115
2018/09,140
2018/10,150
2018/11,147
2018/12,124
2019/01,126
2019/02,125
2019/03,117
2019/04,140
2019/05,121
2019/06,119
2019/07,131
2019/08,105
2019/09,93
2019/10,90
2019/11,85
2019/12,79
2020/01,62
2020/02,63
2020/03,108
2020/04,103
2020/05,76
2020/06,90
2020/07,97
2020/08,122
2020/09,137
2020/10,136
2020/11,116
2020/12,135
2021/01,147
2021/02,130
2021/03,134
2021/04,119
2021/05,146
2021/06,133
2021/07,144
2021/08,141
2021/09,135
2021/10,109
2021/11,131
2021/12,132
2022/01,132
2022/02,111
2022/03,141
2022/04,146
2022/05,144
2022/06,134
2022/07,133
2022/08,122
2022/09,116
2022/10,131
2022/11,105
2022/12,105
2023/01,118
2023/02,112
2023/03,117
2023/04,127
2023/05,117
2023/06,128
2023/07,116
2023/08,132
2023/09,110
2023/10,97
2023/11,91
