"""등골 브레이커""","""등골 브레이커"""
연/월,"""등골 브레이커""_빈도수"
2011/03,0
2011/04,1
2011/05,1
2011/06,5
2011/07,12
2011/08,3
2011/09,4
2011/10,10
2011/11,22
2011/12,150
2012/01,150
2012/02,150
2012/03,148
2012/04,117
2012/05,111
2012/06,99
2012/07,68
2012/08,76
2012/09,50
2012/10,78
2012/11,118
2012/12,135
2013/01,143
2013/02,124
2013/03,107
2013/04,76
2013/05,68
2013/06,78
2013/07,69
2013/08,81
2013/09,79
2013/10,94
2013/11,150
2013/12,150
2014/01,150
2014/02,150
2014/03,126
2014/04,128
2014/05,103
2014/06,91
2014/07,99
2014/08,132
2014/09,139
2014/10,150
2014/11,150
2014/12,150
2015/01,150
2015/02,128
2015/03,150
2015/04,144
2015/05,143
2015/06,134
2015/07,149
2015/08,121
2015/09,137
2015/10,147
2015/11,150
2015/12,150
2016/01,143
2016/02,128
2016/03,128
2016/04,146
2016/05,111
2016/06,107
2016/07,102
2016/08,106
2016/09,132
2016/10,122
2016/11,128
2016/12,132
2017/01,122
2017/02,146
2017/03,127
2017/04,111
2017/05,148
2017/06,113
2017/07,102
2017/08,93
2017/09,103
2017/10,118
2017/11,150
2017/12,150
2018/01,148
2018/02,119
2018/03,133
2018/04,106
2018/05,121
2018/06,107
2018/07,122
2018/08,131
2018/09,121
2018/10,126
2018/11,150
2018/12,147
2019/01,148
2019/02,130
2019/03,141
2019/04,127
2019/05,125
2019/06,137
2019/07,144
2019/08,131
2019/09,113
2019/10,103
2019/11,150
2019/12,150
2020/01,135
2020/02,110
2020/03,145
2020/04,150
2020/05,120
2020/06,91
2020/07,97
2020/08,116
2020/09,123
2020/10,141
2020/11,150
2020/12,138
2021/01,150
2021/02,147
2021/03,132
2021/04,133
2021/05,150
2021/06,135
2021/07,148
2021/08,149
2021/09,145
2021/10,134
2021/11,150
2021/12,150
2022/01,150
2022/02,150
2022/03,150
2022/04,145
2022/05,145
2022/06,139
2022/07,144
2022/08,130
2022/09,142
2022/10,146
2022/11,150
2022/12,150
2023/01,150
2023/02,145
2023/03,146
2023/04,140
2023/05,150
2023/06,147
2023/07,150
2023/08,150
2023/09,150
2023/10,150
2023/11,150
