"""떼껄룩""","""떼껄룩"""
연/월,"""떼껄룩""_빈도수"
2014/06,0
2014/07,2
2014/08,1
2014/09,5
2014/10,9
2014/11,3
2014/12,2
2015/01,7
2015/02,3
2015/03,3
2015/04,1
2015/05,2
2015/06,5
2015/07,8
2015/08,9
2015/09,5
2015/10,17
2015/11,15
2015/12,17
2016/01,14
2016/02,12
2016/03,9
2016/04,20
2016/05,16
2016/06,44
2016/07,29
2016/08,29
2016/09,26
2016/10,35
2016/11,81
2016/12,80
2017/01,83
2017/02,87
2017/03,62
2017/04,48
2017/05,84
2017/06,81
2017/07,79
2017/08,86
2017/09,55
2017/10,95
2017/11,83
2017/12,60
2018/01,100
2018/02,86
2018/03,86
2018/04,82
2018/05,74
2018/06,80
2018/07,86
2018/08,108
2018/09,105
2018/10,102
2018/11,112
2018/12,91
2019/01,111
2019/02,118
2019/03,128
2019/04,140
2019/05,150
2019/06,150
2019/07,150
2019/08,150
2019/09,150
2019/10,150
2019/11,150
2019/12,150
2020/01,150
2020/02,150
2020/03,150
2020/04,150
2020/05,150
2020/06,150
2020/07,150
2020/08,150
2020/09,150
2020/10,150
2020/11,150
2020/12,150
2021/01,150
2021/02,150
2021/03,150
2021/04,150
2021/05,150
2021/06,150
2021/07,150
2021/08,150
2021/09,150
2021/10,150
2021/11,150
2021/12,150
2022/01,150
2022/02,150
2022/03,150
2022/04,150
2022/05,150
2022/06,150
2022/07,150
2022/08,150
2022/09,150
2022/10,150
2022/11,150
2022/12,150
2023/01,150
2023/02,150
2023/03,150
2023/04,150
2023/05,150
2023/06,150
2023/07,150
2023/08,150
2023/09,150
2023/10,147
2023/11,146
