"""똥꼬충""","""똥꼬충"""
연/월,"""똥꼬충""_빈도수"
2015/08,0
2015/09,9
2015/10,25
2015/11,16
2015/12,34
2016/01,38
2016/02,21
2016/03,14
2016/04,10
2016/05,19
2016/06,23
2016/07,17
2016/08,29
2016/09,23
2016/10,8
2016/11,21
2016/12,28
2017/01,45
2017/02,23
2017/03,20
2017/04,45
2017/05,59
2017/06,56
2017/07,48
2017/08,34
2017/09,55
2017/10,41
2017/11,27
2017/12,38
2018/01,32
2018/02,27
2018/03,24
2018/04,29
2018/05,36
2018/06,28
2018/07,42
2018/08,41
2018/09,30
2018/10,42
2018/11,28
2018/12,39
2019/01,32
2019/02,26
2019/03,19
2019/04,24
2019/05,32
2019/06,28
2019/07,26
2019/08,20
2019/09,25
2019/10,32
2019/11,15
2019/12,16
2020/01,26
2020/02,34
2020/03,45
2020/04,29
2020/05,114
2020/06,50
2020/07,41
2020/08,38
2020/09,19
2020/10,30
2020/11,29
2020/12,32
2021/01,18
2021/02,20
2021/03,20
2021/04,20
2021/05,23
2021/06,29
2021/07,32
2021/08,31
2021/09,24
2021/10,23
2021/11,30
2021/12,42
2022/01,18
2022/02,11
2022/03,21
2022/04,21
2022/05,31
2022/06,44
2022/07,40
2022/08,25
2022/09,13
2022/10,29
2022/11,20
2022/12,23
2023/01,22
2023/02,29
2023/03,25
2023/04,25
2023/05,19
2023/06,23
2023/07,22
2023/08,20
2023/09,16
2023/10,22
2023/11,10
