"""명존쎄""","""명존쎄"""
연/월,"""명존쎄""_빈도수"
2013/10,0
2013/11,4
2013/12,3
2014/01,17
2014/02,57
2014/03,34
2014/04,41
2014/05,37
2014/06,59
2014/07,69
2014/08,58
2014/09,53
2014/10,64
2014/11,54
2014/12,67
2015/01,91
2015/02,68
2015/03,66
2015/04,54
2015/05,65
2015/06,56
2015/07,62
2015/08,67
2015/09,59
2015/10,45
2015/11,39
2015/12,35
2016/01,57
2016/02,44
2016/03,36
2016/04,33
2016/05,44
2016/06,34
2016/07,29
2016/08,150
2016/09,98
2016/10,63
2016/11,45
2016/12,65
2017/01,64
2017/02,65
2017/03,28
2017/04,35
2017/05,27
2017/06,37
2017/07,31
2017/08,25
2017/09,40
2017/10,32
2017/11,36
2017/12,50
2018/01,55
2018/02,43
2018/03,34
2018/04,33
2018/05,30
2018/06,35
2018/07,39
2018/08,37
2018/09,36
2018/10,56
2018/11,36
2018/12,33
2019/01,49
2019/02,29
2019/03,39
2019/04,27
2019/05,26
2019/06,31
2019/07,47
2019/08,42
2019/09,36
2019/10,30
2019/11,31
2019/12,37
2020/01,42
2020/02,31
2020/03,49
2020/04,55
2020/05,45
2020/06,50
2020/07,48
2020/08,80
2020/09,40
2020/10,36
2020/11,47
2020/12,42
2021/01,42
2021/02,35
2021/03,41
2021/04,44
2021/05,36
2021/06,41
2021/07,62
2021/08,49
2021/09,43
2021/10,39
2021/11,54
2021/12,37
2022/01,44
2022/02,57
2022/03,54
2022/04,64
2022/05,48
2022/06,55
2022/07,96
2022/08,81
2022/09,58
2022/10,46
2022/11,54
2022/12,43
2023/01,49
2023/02,43
2023/03,47
2023/04,54
2023/05,40
2023/06,45
2023/07,44
2023/08,38
2023/09,42
2023/10,49
2023/11,31
