"""모히또에서 몰디브""","""모히또에서 몰디브"""
연/월,"""모히또에서 몰디브""_빈도수"
2015/10,0
2015/11,121
2015/12,150
2016/01,149
2016/02,146
2016/03,136
2016/04,123
2016/05,122
2016/06,119
2016/07,138
2016/08,120
2016/09,105
2016/10,99
2016/11,64
2016/12,94
2017/01,44
2017/02,65
2017/03,66
2017/04,66
2017/05,78
2017/06,100
2017/07,87
2017/08,79
2017/09,74
2017/10,49
2017/11,70
2017/12,47
2018/01,40
2018/02,55
2018/03,65
2018/04,51
2018/05,59
2018/06,74
2018/07,80
2018/08,84
2018/09,57
2018/10,56
2018/11,61
2018/12,67
2019/01,57
2019/02,48
2019/03,64
2019/04,56
2019/05,62
2019/06,79
2019/07,71
2019/08,72
2019/09,52
2019/10,46
2019/11,45
2019/12,55
2020/01,52
2020/02,64
2020/03,52
2020/04,45
2020/05,58
2020/06,70
2020/07,87
2020/08,75
2020/09,65
2020/10,37
2020/11,50
2020/12,36
2021/01,52
2021/02,48
2021/03,59
2021/04,55
2021/05,65
2021/06,73
2021/07,80
2021/08,82
2021/09,65
2021/10,89
2021/11,73
2021/12,67
2022/01,63
2022/02,59
2022/03,86
2022/04,100
2022/05,121
2022/06,126
2022/07,131
2022/08,137
2022/09,99
2022/10,101
2022/11,95
2022/12,98
2023/01,101
2023/02,91
2023/03,116
2023/04,99
2023/05,118
2023/06,107
2023/07,130
2023/08,130
2023/09,100
2023/10,91
2023/11,85
