"""설참""","""설참"""
연/월,"""설참""_빈도수"
2015/11,0
2015/12,3
2016/01,3
2016/02,4
2016/03,30
2016/04,5
2016/05,5
2016/06,2
2016/07,7
2016/08,9
2016/09,9
2016/10,3
2016/11,6
2016/12,9
2017/01,7
2017/02,7
2017/03,12
2017/04,12
2017/05,10
2017/06,10
2017/07,7
2017/08,8
2017/09,6
2017/10,10
2017/11,11
2017/12,14
2018/01,12
2018/02,12
2018/03,15
2018/04,19
2018/05,79
2018/06,66
2018/07,13
2018/08,29
2018/09,19
2018/10,26
2018/11,14
2018/12,22
2019/01,29
2019/02,22
2019/03,28
2019/04,37
2019/05,43
2019/06,16
2019/07,15
2019/08,17
2019/09,17
2019/10,24
2019/11,9
2019/12,15
2020/01,22
2020/02,30
2020/03,29
2020/04,46
2020/05,44
2020/06,38
2020/07,36
2020/08,38
2020/09,50
2020/10,37
2020/11,54
2020/12,47
2021/01,50
2021/02,40
2021/03,27
2021/04,26
2021/05,46
2021/06,27
2021/07,19
2021/08,48
2021/09,41
2021/10,34
2021/11,31
2021/12,25
2022/01,41
2022/02,25
2022/03,33
2022/04,21
2022/05,24
2022/06,22
2022/07,14
2022/08,27
2022/09,22
2022/10,31
2022/11,36
2022/12,33
2023/01,47
2023/02,49
2023/03,36
2023/04,21
2023/05,44
2023/06,27
2023/07,14
2023/08,22
2023/09,24
2023/10,65
2023/11,51
