"""실화냐""","""실화냐"""
연/월,"""실화냐""_빈도수"
2012/08,0
2012/09,1
2012/10,2
2012/11,2
2012/12,5
2013/01,10
2013/02,5
2013/03,3
2013/04,2
2013/05,1
2013/06,2
2013/07,5
2013/08,3
2013/09,5
2013/10,9
2013/11,6
2013/12,8
2014/01,9
2014/02,3
2014/03,2
2014/04,2
2014/05,6
2014/06,4
2014/07,3
2014/08,6
2014/09,6
2014/10,2
2014/11,7
2014/12,10
2015/01,9
2015/02,7
2015/03,15
2015/04,8
2015/05,9
2015/06,4
2015/07,11
2015/08,5
2015/09,8
2015/10,12
2015/11,11
2015/12,7
2016/01,12
2016/02,13
2016/03,13
2016/04,5
2016/05,9
2016/06,10
2016/07,13
2016/08,18
2016/09,18
2016/10,45
2016/11,90
2016/12,150
2017/01,150
2017/02,150
2017/03,150
2017/04,150
2017/05,150
2017/06,150
2017/07,150
2017/08,150
2017/09,150
2017/10,142
2017/11,150
2017/12,150
2018/01,150
2018/02,120
2018/03,90
2018/04,150
2018/05,150
2018/06,150
2018/07,150
2018/08,150
2018/09,150
2018/10,150
2018/11,150
2018/12,150
2019/01,150
2019/02,150
2019/03,150
2019/04,150
2019/05,150
2019/06,150
2019/07,150
2019/08,150
2019/09,150
2019/10,150
2019/11,150
2019/12,150
2020/01,150
2020/02,150
2020/03,150
2020/04,150
2020/05,150
2020/06,150
2020/07,150
2020/08,150
2020/09,150
2020/10,150
2020/11,150
2020/12,150
2021/01,150
2021/02,150
2021/03,150
2021/04,150
2021/05,150
2021/06,150
2021/07,150
2021/08,150
2021/09,150
2021/10,150
2021/11,150
2021/12,150
2022/01,150
2022/02,150
2022/03,150
2022/04,150
2022/05,150
2022/06,150
2022/07,150
2022/08,150
2022/09,150
2022/10,150
2022/11,150
2022/12,150
2023/01,150
2023/02,150
2023/03,150
2023/04,150
2023/05,150
2023/06,150
2023/07,150
2023/08,150
2023/09,150
2023/10,150
2023/11,150
