"""오저치고""","""오저치고"""
연/월,"""오저치고""_빈도수"
2019/02,0
2019/03,1
2019/04,5
2019/05,27
2019/06,18
2019/07,23
2019/08,22
2019/09,11
2019/10,6
2019/11,14
2019/12,10
2020/01,4
2020/02,18
2020/03,43
2020/04,32
2020/05,59
2020/06,70
2020/07,51
2020/08,54
2020/09,51
2020/10,47
2020/11,69
2020/12,62
2021/01,48
2021/02,24
2021/03,50
2021/04,32
2021/05,64
2021/06,63
2021/07,45
2021/08,30
2021/09,46
2021/10,39
2021/11,34
2021/12,28
2022/01,35
2022/02,39
2022/03,51
2022/04,36
2022/05,36
2022/06,28
2022/07,49
2022/08,124
2022/09,48
2022/10,61
2022/11,61
2022/12,36
2023/01,38
2023/02,52
2023/03,54
2023/04,31
2023/05,38
2023/06,34
2023/07,44
2023/08,29
2023/09,37
2023/10,31
2023/11,30
