"""합격목걸이""","""합격목걸이"""
연/월,"""합격목걸이""_빈도수"
2017/03,0
2017/04,4
2017/05,1
2017/06,7
2017/07,33
2017/08,4
2017/09,12
2017/10,1
2017/11,11
2017/12,3
2018/01,3
2018/02,1
2018/03,1
2018/04,2
2018/05,3
2018/06,8
2018/07,11
2018/08,5
2018/09,6
2018/10,4
2018/11,4
2018/12,4
2019/01,4
2019/02,3
2019/03,12
2019/04,6
2019/05,9
2019/06,11
2019/07,23
2019/08,40
2019/09,64
2019/10,64
2019/11,48
2019/12,62
2020/01,56
2020/02,82
2020/03,89
2020/04,122
2020/05,125
2020/06,131
2020/07,133
2020/08,129
2020/09,132
2020/10,143
2020/11,145
2020/12,150
2021/01,150
2021/02,132
2021/03,144
2021/04,146
2021/05,129
2021/06,135
2021/07,148
2021/08,150
2021/09,150
2021/10,150
2021/11,140
2021/12,134
2022/01,139
2022/02,129
2022/03,139
2022/04,139
2022/05,140
2022/06,132
2022/07,143
2022/08,142
2022/09,138
2022/10,143
2022/11,150
2022/12,150
2023/01,138
2023/02,145
2023/03,150
2023/04,148
2023/05,136
2023/06,138
2023/07,135
2023/08,142
2023/09,150
2023/10,139
2023/11,130
