"""행복회로""","""행복회로"""
연/월,"""행복회로""_빈도수"
2015/08,0
2015/09,1
2015/10,1
2015/11,1
2015/12,2
2016/01,3
2016/02,4
2016/03,4
2016/04,3
2016/05,2
2016/06,7
2016/07,19
2016/08,58
2016/09,30
2016/10,44
2016/11,72
2016/12,72
2017/01,73
2017/02,78
2017/03,120
2017/04,110
2017/05,136
2017/06,112
2017/07,126
2017/08,114
2017/09,117
2017/10,119
2017/11,124
2017/12,129
2018/01,150
2018/02,150
2018/03,150
2018/04,150
2018/05,150
2018/06,150
2018/07,150
2018/08,150
2018/09,150
2018/10,150
2018/11,150
2018/12,150
2019/01,150
2019/02,150
2019/03,150
2019/04,150
2019/05,150
2019/06,150
2019/07,150
2019/08,150
2019/09,150
2019/10,150
2019/11,150
2019/12,150
2020/01,150
2020/02,150
2020/03,150
2020/04,150
2020/05,150
2020/06,150
2020/07,150
2020/08,150
2020/09,150
2020/10,150
2020/11,150
2020/12,150
2021/01,150
2021/02,150
2021/03,150
2021/04,150
2021/05,150
2021/06,150
2021/07,150
2021/08,150
2021/09,150
2021/10,150
2021/11,150
2021/12,150
2022/01,150
2022/02,150
2022/03,150
2022/04,150
2022/05,150
2022/06,150
2022/07,150
2022/08,150
2022/09,150
2022/10,150
2022/11,150
2022/12,150
2023/01,150
2023/02,150
2023/03,150
2023/04,150
2023/05,150
2023/06,150
2023/07,150
2023/08,150
2023/09,150
2023/10,150
2023/11,150
